customer_id,bureau_score,total_debt,num_credit_accounts,num_delinquencies_12m,bankruptcy_flag,inquiry_count_6m,oldest_account_years,utilization_pct,report_date
CUST-004140,759,493288.78,1,3,N,1,3,84.3,2025-08-31
CUST-002758,735,148870.24,3,0,N,0,17,81.5,2025-08-31
CUST-001576,764,383091.2,12,4,N,0,6,11.5,2025-08-31
CUST-000585,732,289130.52,10,2,N,2,10,40.8,2025-08-31
CUST-003287,677,419202.24,1,1,N,4,7,86.5,2025-08-31
CUST-003510,613,162468.88,15,4,N,4,22,80.7,2025-08-31
CUST-002060,728,79984.07,8,0,N,2,16,88.2,2025-08-31
CUST-000872,612,243068.27,11,0,N,4,6,94.6,2025-08-31
CUST-001974,706,450224.99,8,0,Y,7,1,24.9,2025-08-31
CUST-001648,662,432823.81,5,0,N,1,10,8.0,2025-08-31
CUST-000483,679,118415.63,6,0,N,8,24,58.8,2025-08-31
CUST-001560,730,452245.75,8,2,N,3,21,26.2,2025-08-31
CUST-001504,719,136528.5,8,0,N,7,8,93.9,2025-08-31
CUST-003944,618,445352.83,8,2,N,8,9,84.6,2025-08-31
CUST-001556,835,160892.45,6,0,N,2,9,30.0,2025-08-31
CUST-001927,593,442874.77,5,1,N,2,4,20.8,2025-08-31
CUST-002458,702,64011.88,11,2,N,5,21,44.5,2025-08-31
CUST-001293,666,406867.31,9,0,N,6,8,21.9,2025-08-31
CUST-000877,576,189848.52,11,0,N,3,8,45.2,2025-08-31
CUST-000362,697,311678.51,13,0,N,5,8,49.6,2025-08-31
CUST-001214,793,328689.72,9,0,N,2,21,42.7,2025-08-31
CUST-001940,641,25412.32,1,0,N,6,9,86.9,2025-08-31
CUST-000318,671,313406.39,14,0,N,2,24,23.8,2025-08-31
CUST-004174,782,304895.57,14,0,N,0,9,30.2,2025-08-31
CUST-001558,591,461506.82,3,0,N,6,24,6.2,2025-08-31
CUST-002461,612,454779.23,15,0,N,5,16,24.8,2025-08-31
CUST-002640,652,239380.58,1,0,N,6,21,62.1,2025-08-31
CUST-001925,676,254920.62,14,0,N,5,14,40.7,2025-08-31
CUST-000046,565,18459.11,1,2,N,0,18,67.8,2025-08-31
