loan_id,customer_id,product_code,branch_id,origination_date,current_balance,interest_rate,status,days_past_due,last_payment_date,next_payment_date,monthly_payment
LN-0000001,CUST-004140,AUTO,BR-007,2020-02-24,4682.63,8.6226,Active,0,2025-07-19,2025-09-19,956.81
LN-0000002,CUST-002758,PL-SEC,BR-013,2022-02-13,11570.48,7.0325,Active,0,2025-08-12,2025-09-18,726.86
LN-0000003,CUST-001576,MTG-FIX,BR-022,2024-02-25,412956.57,6.4462,Delinquent-60,69,2025-08-13,2025-09-17,2846.69
LN-0000004,CUST-000585,MTG-FIX,BR-024,2020-02-18,288615.3,5.4068,Active,0,2025-07-14,2025-09-20,2003.17
LN-0000005,CUST-003287,MTG-FIX,BR-007,2025-03-31,0,5.1486,Closed,0,2025-07-18,2025-09-16,0
LN-0000006,CUST-003510,LOC,BR-008,2024-08-06,16810.63,12.0727,Active,0,2025-08-14,2025-09-15,450.64
LN-0000007,CUST-002060,STUDENT,BR-024,2020-03-25,5926.91,4.5599,Delinquent-30,49,2025-08-05,2025-09-17,121.61
LN-0000008,CUST-000872,MTG-FIX,BR-021,2022-10-25,148137.25,5.3695,Delinquent-30,53,2025-08-12,2025-09-17,953.69
LN-0000009,CUST-001974,AUTO,BR-024,2024-12-12,58014.95,7.5963,Active,0,2025-08-04,2025-09-17,1105.3
LN-0000010,CUST-001648,HELOC,BR-022,2020-06-09,85572.32,8.3671,Delinquent-30,46,2025-08-07,2025-09-15,1824.47
LN-0000011,CUST-000483,AUTO,BR-002,2021-07-09,4063.0,5.5736,Active,0,2025-07-20,2025-09-15,194.71
LN-0000012,CUST-001560,LOC,BR-022,2021-05-27,4038.76,11.1168,Active,0,2025-07-14,2025-09-15,469.79
LN-0000013,CUST-001504,HELOC,BR-008,2020-02-08,18332.58,7.8205,Delinquent-30,33,2025-07-22,2025-09-19,410.18
LN-0000014,CUST-003944,LOC,BR-013,2020-02-06,740.17,12.4964,Delinquent-90,120,2025-07-20,2025-09-15,747.88
LN-0000015,CUST-001556,LOC,BR-002,2024-02-07,12120.82,10.9986,Active,0,2025-08-01,2025-09-15,355.89
LN-0000016,CUST-001927,AUTO,BR-019,2024-05-06,29212.79,8.4845,Active,0,2025-07-23,2025-09-16,633.55
LN-0000017,CUST-002458,MTG-FIX,BR-025,2025-05-04,409556.0,6.3694,Active,0,2025-08-01,2025-09-17,2747.12
LN-0000018,CUST-001293,STUDENT,BR-018,2020-02-14,3565.05,4.746,Active,0,2025-07-13,2025-09-20,74.69
LN-0000019,CUST-000877,PL-SEC,BR-010,2019-02-02,3632.81,9.773,Active,0,2025-07-25,2025-09-18,3662.4
LN-0000020,CUST-000362,AUTO,BR-025,2021-12-17,16495.78,6.3789,Active,0,2025-07-17,2025-09-19,657.47
LN-0000021,CUST-001214,MTG-FIX,BR-002,2023-10-18,472951.79,4.7237,Active,0,2025-07-21,2025-09-20,2801.65
LN-0000022,CUST-001940,MTG-VAR,BR-006,2023-01-05,175577.06,5.4991,Delinquent-90,142,2025-08-09,2025-09-18,1139.11
LN-0000023,CUST-000318,LOC,BR-007,2023-08-14,24289.75,11.8203,Active,0,2025-07-29,2025-09-18,804.68
LN-0000024,CUST-004174,PL-UNSEC,BR-018,2021-07-21,869.87,12.7902,Delinquent-30,38,2025-07-18,2025-09-18,879.14
LN-0000025,CUST-001558,MTG-VAR,BR-023,2021-12-23,96085.24,6.1931,Active,0,2025-07-11,2025-09-16,677.19
LN-0000026,CUST-002461,HELOC,BR-014,2021-03-18,67384.38,6.1749,Active,0,2025-07-16,2025-09-18,1206.74
LN-0000027,CUST-002640,MTG-VAR,BR-015,2023-04-02,444424.12,6.8056,Active,0,2025-07-12,2025-09-20,3214.79
LN-0000028,CUST-001925,PL-SEC,BR-007,2020-11-26,0,8.4189,Closed,0,2025-07-18,2025-09-16,0
LN-0000029,CUST-000046,MTG-FIX,BR-014,2019-10-26,308217.19,6.2723,Active,0,2025-07-25,2025-09-17,2311.55
LN-0000030,CUST-003626,MTG-FIX,BR-018,2025-04-02,253964.29,6.1967,Active,0,2025-07-26,2025-09-15,1678.84
LN-0000031,CUST-001921,HELOC,BR-011,2021-10-09,155642.82,6.6933,Active,0,2025-07-19,2025-09-19,2601.4
LN-0000032,CUST-003442,LOC,BR-025,2020-09-17,3426.96,7.8211,Active,0,2025-08-03,2025-09-15,3449.3
LN-0000033,CUST-001807,AUTO,BR-009,2023-04-08,22156.68,8.7996,Delinquent-30,42,2025-07-30,2025-09-19,602.64
LN-0000034,CUST-000688,HELOC,BR-015,2023-07-15,181602.21,8.0859,Active,0,2025-07-25,2025-09-17,2595.92
LN-0000035,CUST-000427,MTG-FIX,BR-021,2022-10-14,559040.71,5.2583,Active,0,2025-08-09,2025-09-16,3570.44
LN-0000036,CUST-002100,MTG-FIX,BR-020,2021-10-09,177571.48,4.5408,Active,0,2025-07-24,2025-09-19,1091.86
LN-0000037,CUST-001625,AUTO,BR-023,2022-06-28,7184.83,5.5899,Delinquent-60,89,2025-07-15,2025-09-19,228.99
LN-0000038,CUST-002796,PL-UNSEC,BR-014,2020-05-10,2426.64,12.1786,Active,0,2025-07-21,2025-09-20,2451.27
